"College
                                        Arts and SciencesBusiness and EconomicsDental MedicineEducationEngineeringHealth SciencesLawMedicineNursingPharmacySharia and Islamic Studies",Department,Major,Credit Hours,Study Duration,Study Plan,
Arts and Sciences,"Arabic
                                            Language (/ar/colleges/artssciences/departments/dept-arabic-language/)","Arabic
                                            Language (/en-us/colleges/artssciences/departments/dept-arabic-language/ba-arabic-language)",120,4 Years,Download (/siteimages/static_file/qu/colleges/cas/documents/planarabic.pdf),
Arts and Sciences,"Biological and
                                            Environmental
                                            Sciences (/en-us/colleges/artssciences/departments/bioenv)","Biological
                                            Sciences (/en-us/colleges/artssciences/departments/bioenv/programs/bsc-biologicalscience)",120,4 Years,Download (/siteimages/static_file/qu/colleges/cas/college%20departments%20and%20offices/biological%20and%20environmental%20sciences/documents/bsc%20biological%20science%20major.pdf),
Arts and Sciences,"Biological and
                                            Environmental
                                            Sciences (/en-us/colleges/artssciences/departments/bioenv)","Environmental
                                            Sciences (/en-us/colleges/artssciences/departments/bioenv/programs/bsc-envscience)",126 125,4 Years,Download (/siteimages/static_file/qu/colleges/cas/college%20departments%20and%20offices/biological%20and%20environmental%20sciences/documents/bsc%20environmental%20science%20major.pdf),
Arts and Sciences,"Chemistry and
                                            Earth
                                            Sciences (/en-us/colleges/artssciences/departments/dept-chemistry)",Chemistry (/en-us/colleges/artssciences/departments/dept-chemistry/chemistry-program),120,4 Years,Download (/siteimages/static_file/qu/students/documents/chemistry-major-study-plan.pdf),
Arts and Sciences,"English
                                            Literature and
                                            Linguistics (/en-us/colleges/artssciences/departments/dell-home)","English
                                            Literature
                                            and Linguistics (/en-us/colleges/artssciences/departments/dell-home/english-major)",120,4 Years,Download (/siteimages/static_file/qu/students/documents/minor-in-english-study-plan.pdf),
Arts and Sciences,Humanities (/en-us/colleges/artssciences/departments/humanities),Fine Arts,120,4 Years,,
Arts and Sciences,Humanities (/en-us/colleges/artssciences/departments/humanities),History (/en-us/colleges/artssciences/departments/humanities/ba-history),120,4 Years,,
Arts and Sciences,"International
                                            Affairs (/en-us/colleges/artssciences/departments/international-affairs)","International
                                            Affairs (/en-us/colleges/artssciences/departments/international-affairs/ba-int-affairs)",120,4 Years,Download (/siteimages/static_file/qu/colleges/cas/documents/b.a.%20in%20international%20affairs.pdf),
Arts and Sciences,"International
                                            Affairs (/en-us/colleges/artssciences/departments/international-affairs)","Policy,
                                            Planning and
                                            Development (/en-us/colleges/artssciences/departments/international-affairs/ba-ppd)",120,4 Years,Download (/siteimages/static_file/qu/colleges/cas/documents/b.a.%20in%20policy%20planning%20and%20development.pdf),
Arts and Sciences,"Mass
                                            Communication (/en-us/colleges/artssciences/departments/mass-comm)","Mass
                                            Communication (/en-us/colleges/artssciences/departments/mass-comm/ba-mass-comm)",126,4 Years,Download (/siteimages/static_file/qu/students/documents/mass-communication-study-plan-oct2021.pdf),
,Available to males,,Required Foundation Program
,Available to females,,Focus Area
,Available to males and females,,Concentration
,"Arabic is the language of
                                        instruction",,"English is the language
                                        of instruction"
"College
                                        Arts and SciencesBusiness and EconomicsEngineeringHealth Sciences",Department,Minor,Credit Hours,Study Plan,
Arts and Sciences,Arabic Language (/en-us/colleges/artssciences/departments/dept-arabic-language/about-us),Arabic Language,,,
Arts and Sciences,Arabic Language (/en-us/colleges/artssciences/departments/dept-arabic-language/about-us),Turkish Language,,,
Arts and Sciences,"Biological and
                                            Environmental
                                            Sciences (/en-us/colleges/artssciences/departments/bioenv)","Biological
                                            Sciences (/en-us/colleges/artssciences/departments/bioenv/programs/bsc-biologicalscience)",18,Download (/en-us/colleges/artssciences/departments/bioenv/programs/bsc-biologicalscience),
Arts and Sciences,"Chemistry and
                                            Earth
                                            Sciences (/en-us/colleges/artssciences/departments/dept-chemistry)",Chemistry (/en-us/colleges/artssciences/departments/dept-chemistry/minor-chemistry),18,Download (/en-us/colleges/artssciences/departments/dept-chemistry/minor-chemistry),
Arts and Sciences,"Chemistry and
                                            Earth
                                            Sciences (/en-us/colleges/artssciences/departments/dept-chemistry)",Geology (/en-us/colleges/artssciences/departments/dept-chemistry/minor-geology),18,Download (/en-us/colleges/artssciences/departments/dept-chemistry/minor-geology),
Arts and Sciences,"English
                                            Literature and
                                            Linguistics (/en-us/colleges/artssciences/departments/dell-home/)","English
                                            Language (/en-us/colleges/artssciences/departments/dell-home/minor-programs)",24,Download (/siteimages/static_file/qu/students/documents/minor-in-english-study-plan.pdf),
Arts and Sciences,"English
                                            Literature and
                                            Linguistics (/en-us/colleges/artssciences/departments/dell-home/)","French
                                            Language (/en-us/colleges/artssciences/departments/dell-home/minor-programs)",24,,
Arts and Sciences,"English
                                            Literature and
                                            Linguistics (/en-us/colleges/artssciences/departments/dell-home/)","Spanish
                                            Language (/en-us/colleges/artssciences/departments/dell-home/minor-programs)",24,,
Arts and Sciences,"English
                                            Literature and
                                            Linguistics (/en-us/colleges/artssciences/departments/dell-home/)",Translation (/en-us/colleges/artssciences/departments/dell-home/minor-programs),24,,
Arts and Sciences,Humanities (/en-us/colleges/artssciences/departments/humanities),History (/en-us/colleges/artssciences/departments/humanities/minor-history),24,Download (/en-us/colleges/artssciences/departments/humanities/minor-history),
,Available to males,,Required Foundation Program
,Available to females,,Focus Area
,Available to males and females,,Concentration
,Arabic is the language of instruction,,English is the language of instruction
